dataset-comment "Conformance conversion: Mon Dec 07 09:59:10 2009"
dataset-description "Sudden Expansion 500 "
dataset-orientation "Sudden Expansion"
dataset-reynolds 0500
dataset-laminar-turbulent ""
dataset-experiment 1
dataset-code 243
dataset-experiment 1
geometry-flow-z-direction +1
geometry-throat-outlet-expansion-type "sudden"
geometry-sudden-z 0.0
fluid-density 1056
fluid-viscosity 0.0035
4.3710000E-004  6.81544E-001
6.1196200E-004  6.74772E-001
7.8682400E-004  6.58312E-001
9.6168600E-004  6.27822E-001
1.1365480E-003  5.81564E-001
1.3114100E-003  5.13784E-001
1.4862720E-003  4.24911E-001
1.6611340E-003  3.31696E-001
1.8359960E-003  2.70264E-001
2.0108580E-003  0.00000E+000
2.1857200E-003  0.00000E+000
2.3605820E-003  0.00000E+000
2.5354440E-003  0.00000E+000
2.7103060E-003  0.00000E+000
2.8851680E-003  0.00000E+000
3.0600300E-003  0.00000E+000
3.2348920E-003  0.00000E+000
3.4097540E-003  0.00000E+000
3.5846160E-003  0.00000E+000
3.7594780E-003  0.00000E+000
3.9343400E-003  0.00000E+000
4.1092020E-003  0.00000E+000
4.2840640E-003  0.00000E+000
4.4589260E-003  0.00000E+000
4.6337880E-003  0.00000E+000
4.8086500E-003  0.00000E+000
4.9835120E-003  0.00000E+000
5.1583740E-003  0.00000E+000
5.3332360E-003  0.00000E+000
5.5080980E-003  0.00000E+000
5.6829600E-003  0.00000E+000
5.8578220E-003  0.00000E+000
6.0326840E-003  0.00000E+000
6.2075460E-003  0.00000E+000
6.3824080E-003  0.00000E+000
6.5572700E-003  0.00000E+000
6.7321320E-003  0.00000E+000
6.9069940E-003  0.00000E+000
7.0818560E-003  0.00000E+000
7.2567180E-003  0.00000E+000
plot-profile-axial-velocity-at-z -0.00800 0
100
-7.0507900E-003  0.00000E+000
-6.8826650E-003  0.00000E+000
-6.7145400E-003  0.00000E+000
-6.5464150E-003  0.00000E+000
-6.3782900E-003  0.00000E+000
-6.2101650E-003  0.00000E+000
-6.0420400E-003  0.00000E+000
-5.8739150E-003  0.00000E+000
-5.7057900E-003  0.00000E+000
-5.5376650E-003  0.00000E+000
-5.3695400E-003  0.00000E+000
-5.2014150E-003  0.00000E+000
-5.0332900E-003  0.00000E+000
-4.8651650E-003  0.00000E+000
-4.6970400E-003  0.00000E+000
